run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.train_mr,metrics.train_hits_at_50,metrics.train_mrr,metrics.train_hits_at_1,metrics.val_hits_at_10,metrics.val_mrr,metrics.val_hits_at_100,metrics.train_hits_at_100,metrics.test_mrr,metrics.test_hits_at_10,metrics.train_hits_at_10,metrics.val_mr,metrics.l1_match_val,metrics.test_hits_at_1,metrics.val_hits_at_1,metrics.test_hits_at_100,metrics.val_hits_at_50,metrics.test_mr,metrics.test_hits_at_50,metrics.l1_match_train,params.num_epochs,params.num_negatives,params.conv_weight_init,params.trainable_params,params.seed,params.use_edge_weights,params.run_hash,params.dataset_name,params.use_conv_weights,params.n_layers,params.total_params,params.node_embedding_init,params.lr,params.subset_name,params.optimizer,params.train_val_ratio,params.eval_batch_size,params.embedding_dim,params.vertical_sharing,tags.mlflow.source.name,tags.mlflow.user,tags.mlflow.source.type,tags.mlflow.source.git.commit
b805b741c5da418eb4044fe86da8ef2e,1,FINISHED,/home/ubuntu/kg_matching/mlruns/1/b805b741c5da418eb4044fe86da8ef2e/artifacts,2020-01-17 15:39:01.790000+00:00,2020-01-17 15:43:05.618000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,100,xavier_uniform_,7792000,424242,EdgeWeightsEnum.inverse_in_degree,381a7a0b6758dc631374645c60229193,dbp15k_jape,False,2,7792000,total,1.0,zh_en,SGD,1.0,1000,200,,src/gcn_align_runnable.py,ubuntu,LOCAL,266af31a19bce0957129f1d3255a37dc5cf6cab3
8c182cc5181d4d8393c58277d0e17c9b,1,FINISHED,/home/ubuntu/kg_matching/mlruns/1/8c182cc5181d4d8393c58277d0e17c9b/artifacts,2020-01-17 15:34:48.340000+00:00,2020-01-17 15:38:54.698000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,100,xavier_uniform_,7792000,42424,EdgeWeightsEnum.inverse_in_degree,676e4662d706f06f1894c89900555291,dbp15k_jape,False,2,7792000,total,1.0,zh_en,SGD,1.0,1000,200,,src/gcn_align_runnable.py,ubuntu,LOCAL,266af31a19bce0957129f1d3255a37dc5cf6cab3
d1f67a03c56c40f6973cb15072841633,1,FINISHED,/home/ubuntu/kg_matching/mlruns/1/d1f67a03c56c40f6973cb15072841633/artifacts,2020-01-17 15:30:29.862000+00:00,2020-01-17 15:34:40.907000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,100,xavier_uniform_,7792000,4242,EdgeWeightsEnum.inverse_in_degree,b3e0c71818d32f725bee9d1a5be2bb01,dbp15k_jape,False,2,7792000,total,1.0,zh_en,SGD,1.0,1000,200,,src/gcn_align_runnable.py,ubuntu,LOCAL,266af31a19bce0957129f1d3255a37dc5cf6cab3
2831d1b139f3494d879077c70072ff9e,1,FINISHED,/home/ubuntu/kg_matching/mlruns/1/2831d1b139f3494d879077c70072ff9e/artifacts,2020-01-17 15:26:12.480000+00:00,2020-01-17 15:30:22.766000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,100,xavier_uniform_,7792000,424,EdgeWeightsEnum.inverse_in_degree,d5fbdbc61802fd801a7f6d40fa0fe5e8,dbp15k_jape,False,2,7792000,total,1.0,zh_en,SGD,1.0,1000,200,,src/gcn_align_runnable.py,ubuntu,LOCAL,266af31a19bce0957129f1d3255a37dc5cf6cab3
8af40db0f403476ea4c4a2ab5f86f2f3,1,FINISHED,/home/ubuntu/kg_matching/mlruns/1/8af40db0f403476ea4c4a2ab5f86f2f3/artifacts,2020-01-17 15:21:52.196000+00:00,2020-01-17 15:26:05.115000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,100,xavier_uniform_,7792000,42,EdgeWeightsEnum.inverse_in_degree,29e9ff7f15e000276dd67d1f151e1c13,dbp15k_jape,False,2,7792000,total,1.0,zh_en,SGD,1.0,1000,200,,src/gcn_align_runnable.py,ubuntu,LOCAL,266af31a19bce0957129f1d3255a37dc5cf6cab3
725b197e50dd4bb093d5d280c20b71cb,1,FINISHED,/home/ubuntu/kg_matching/mlruns/1/725b197e50dd4bb093d5d280c20b71cb/artifacts,2020-01-17 15:19:02.087000+00:00,2020-01-17 15:21:44.534000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,50,xavier_uniform_,7792000,424242,EdgeWeightsEnum.inverse_in_degree,bb8999f191ca0659d1eb7e09af098f8a,dbp15k_jape,False,2,7792000,none,1.0,zh_en,Adam,1.0,1000,200,,src/gcn_align_runnable.py,ubuntu,LOCAL,266af31a19bce0957129f1d3255a37dc5cf6cab3
c7954c127a6e41d29ae94570570f76ee,1,FINISHED,/home/ubuntu/kg_matching/mlruns/1/c7954c127a6e41d29ae94570570f76ee/artifacts,2020-01-17 15:16:00.168000+00:00,2020-01-17 15:18:54.226000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,50,xavier_uniform_,7792000,42424,EdgeWeightsEnum.inverse_in_degree,fb965b3c74bfea4196693eab3416ddf2,dbp15k_jape,False,2,7792000,none,1.0,zh_en,Adam,1.0,1000,200,,src/gcn_align_runnable.py,ubuntu,LOCAL,266af31a19bce0957129f1d3255a37dc5cf6cab3
7df0d7b0fefb497fb4f30df0a2e5a8fc,1,FINISHED,/home/ubuntu/kg_matching/mlruns/1/7df0d7b0fefb497fb4f30df0a2e5a8fc/artifacts,2020-01-17 15:13:19.772000+00:00,2020-01-17 15:15:52.904000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,50,xavier_uniform_,7792000,4242,EdgeWeightsEnum.inverse_in_degree,3108495e5a6e9ddeb171e7ac59f229df,dbp15k_jape,False,2,7792000,none,1.0,zh_en,Adam,1.0,1000,200,,src/gcn_align_runnable.py,ubuntu,LOCAL,266af31a19bce0957129f1d3255a37dc5cf6cab3
df1038d939f24c7c904439c43175e2c3,1,FINISHED,/home/ubuntu/kg_matching/mlruns/1/df1038d939f24c7c904439c43175e2c3/artifacts,2020-01-17 15:10:45.380000+00:00,2020-01-17 15:13:12.491000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,50,xavier_uniform_,7792000,424,EdgeWeightsEnum.inverse_in_degree,f5a88ce832d75ea5c15036185913b770,dbp15k_jape,False,2,7792000,none,1.0,zh_en,Adam,1.0,1000,200,,src/gcn_align_runnable.py,ubuntu,LOCAL,266af31a19bce0957129f1d3255a37dc5cf6cab3
97fc17b5c5e148f4a6232e5b8d25ef55,1,FINISHED,/home/ubuntu/kg_matching/mlruns/1/97fc17b5c5e148f4a6232e5b8d25ef55/artifacts,2020-01-17 15:07:53.077000+00:00,2020-01-17 15:10:37.602000+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,50,xavier_uniform_,7792000,42,EdgeWeightsEnum.inverse_in_degree,93e082e0c453db1e2871bb4c97b0f9e3,dbp15k_jape,False,2,7792000,none,1.0,zh_en,Adam,1.0,1000,200,,src/gcn_align_runnable.py,ubuntu,LOCAL,266af31a19bce0957129f1d3255a37dc5cf6cab3
